Designator,Mid X,Mid Y,Layer,Rotation
D116,49.609999mm,40.429992999999996mm,Top,180.0
D115,45.409999mm,40.429992999999996mm,Top,180.0
D114,49.609999mm,42.229993mm,Top,180.0
D113,45.409999mm,42.229993mm,Top,180.0
D112,49.609999mm,44.029993000000005mm,Top,180.0
D111,45.409999mm,44.029993000000005mm,Top,180.0
D110,49.609999mm,45.829993mm,Top,180.0
D109,45.409999mm,45.829993mm,Top,180.0
D202,53.059999mm,27.629993mm,Top,180.0
C143,76.359999mm,26.729993mm,Top,270.0
C144,77.559999mm,26.729993mm,Top,90.0
C145,78.759999mm,26.729993mm,Top,270.0
C146,79.959999mm,26.729993mm,Top,270.0
C112,49.759999mm,38.729993mm,Top,0.0
C111,43.259999mm,38.829993mm,Top,90.0
C117,76.747499mm,46.029993000000005mm,Bottom,270.0
C105,43.159999mm,51.629993mm,Bottom,180.0
C100,41.009999mm,51.629993mm,Bottom,0.0
C285,47.843098999999995mm,30.829993mm,Bottom,0.0
C280,51.176998999999995mm,30.829993mm,Bottom,180.0
C275,41.542999mm,30.829993mm,Bottom,0.0
C270,44.876999mm,30.829993mm,Bottom,180.0
C229,75.160099mm,23.829993mm,Bottom,270.0
C224,40.359999mm,24.429993mm,Top,90.0
C223,40.359999mm,28.679993000000003mm,Top,90.0
C222,40.359999mm,26.379993mm,Bottom,90.0
C221,75.259999mm,25.729993mm,Top,90.0
C220,57.860099mm,29.929993000000003mm,Bottom,180.0
C230,70.459999mm,27.729993mm,Bottom,270.0
C231,71.660099mm,27.729993mm,Bottom,270.0
C232,72.859999mm,27.729993mm,Bottom,270.0
C225,65.660099mm,27.729993mm,Bottom,270.0
C226,66.859999mm,27.729993mm,Bottom,270.0
C227,68.060099mm,27.729993mm,Bottom,270.0
C228,69.259999mm,27.729993mm,Bottom,270.0
C216,60.859999mm,27.729993mm,Bottom,270.0
C217,62.060098999999994mm,27.729993mm,Bottom,270.0
C218,63.259999mm,27.729993mm,Bottom,270.0
C219,64.460099mm,27.729993mm,Bottom,270.0
C212,56.060098999999994mm,27.729993mm,Bottom,270.0
C213,57.259999mm,27.729993mm,Bottom,270.0
C214,58.460099mm,27.729993mm,Bottom,270.0
C215,59.659999mm,27.729993mm,Bottom,270.0
C204,46.459998999999996mm,27.729993mm,Bottom,270.0
C205,47.660099mm,27.729993mm,Bottom,270.0
C206,48.859999mm,27.729993mm,Bottom,270.0
